,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
credit_amount_wins,0.428117409124653,-0.08287838992248948,0.06871234696228093,-0.019253755960240933,0.06770106823312312,0.07550717296511841,0.023772645643912932,-0.047825659114250275,0.02982501586681891
credit_amount_log,0.4125065948572664,-0.0533008796125668,0.04551351635121141,-0.03345114717663655,0.09277429198802946,0.031402398687471696,0.1254207225665028,-0.159011718576231,0.056062075799109184
high_amount_flag,0.17816164223304845,-0.1458192064819587,0.08366987036088099,0.04076889864046912,-0.15390180372356974,0.2687117965176303,-0.46543851821766785,0.6533055342025171,-0.3179591040610717
monthly_payment,0.3017970455856479,0.3129648997329983,-0.22492040179510372,0.22439128191326366,-0.05144364613607121,-0.06916602849775559,0.029431043283811104,0.16012073582486006,0.0019814565523632393
credit_per_existing,0.4007771818606279,-0.12644502292829152,-0.0014455580313505335,-0.08505580726288557,-0.20512184313039644,-0.06217393625123925,-0.12491098103165692,-0.056126014957955814,0.09134306269028716
installment_rel,0.2346510887444838,0.3982642026995243,-0.3197452644917841,0.17857091042759665,-0.007175861785151583,-0.016157856187296458,0.02911548981828691,0.0001233277874951604,-0.031445343194727235
many_dependents_flag,0.040037325725157454,0.46687838310287194,0.40276046512401936,-0.31023211293877934,-0.0923153542812854,-0.05963646769618793,0.009984318056232793,0.05059672562260778,-0.048309279647549705
duration,0.25021386479517377,-0.3180869347456502,0.2855028332584797,-0.22784223310650176,0.1274357455885456,0.08701809622901265,0.05797473542033991,-0.26925833555093204,0.07698969011244934
credit_amount,0.4284592081274723,-0.09115966469107423,0.07370164970303755,-0.016296250798795084,0.05635612764902784,0.09389102628897046,-0.009686952595608948,-0.004056873004336803,0.007695673979914168
installment_commitment,-0.1687487303983123,-0.3142023238904199,0.3540158278430282,-0.01904971534730509,-0.05826360465782678,-0.12077115545374233,-0.0033079028605484404,0.24235060688065127,0.10534426542619076
residence_since,0.009211070646176869,0.017840382933212648,0.2454507612453966,0.44312910868834254,-0.10171924676657432,-0.01921123435491028,-0.32426100008364955,-0.4774114980761894,-0.48306466737138487
age,0.016138482503352584,0.10917008199463414,0.2638826057162732,0.4627634465944905,-0.1042709418143799,0.005396741890858871,-0.23109301017134537,0.05853472819229002,0.7548756584386023
existing_credits,-0.011456436374021413,0.11363531899033781,0.21204495169702225,0.24948087517396147,0.7021203674054557,0.3906912877600244,0.2646132009600607,0.20400740817763238,-0.07908177230771257
num_dependents,0.04003732572515743,0.46687838310287183,0.4027604651240193,-0.3102321129387792,-0.0923153542812855,-0.059636467696187995,0.009984318056231683,0.050596725622607426,-0.04830927964754991
savings_status_ord,-0.06997520051042667,0.005985722979833678,-0.017337884879637517,0.01881000051414732,-0.5510158655092953,0.7172198961039511,0.38192507079956606,-0.07630096371491613,0.03568527074697463
employment_ord,-0.024086713508287005,0.004937238267746249,0.3449288583306881,0.39868202004703557,-0.15013790011381645,-0.10327216759806687,0.2542985828256785,-0.047350969600250974,-0.18824741368678685
job_ord,0.15565236863033832,-0.164633809498135,0.05055191677391613,0.1740429301449965,-0.19530468888786023,-0.4427213021203371,0.5540629613841644,0.31532467958901517,-0.1327720592780236
